Job_Loc,industry_compsize,usetime,score,review_title,review_body,review_pro,review_con
EA in US,"Hospital & Health Care, 201–500 Employees",Used the Software for: Free Trial,4.0,"like this product, but doesn't align with advertising",,,
Sporting Goods,Used the Software for: 1-5 months,Reviewer Source,5.0,Very Simple!,,,
"Arts & Crafts, Self Employed",Used the Software for: Free Trial,Reviewer Source,5.0,Astonishing software for buddying entrepreneurs,"With the inbuilt plugins for setting up an e-commerce store, it turned out easier for me. Also, the 14-day free trial was an amazing idea to get started and to-know insights of Shopify.",Ease of setting up the shop even for the newbies or non-tech people.,Seems to be bit more costly for the new businesses.
,E-Learning,Used the Software for: 6-12 months,5.0,,,,
CIO in,"Cosmetics, 51–200 Employees",Used the Software for: 6-12 months,4.0,,,,
Operations Manager in US,,Used the Software for: 1-5 months,4.0,"I am a beginner with Shopify. Although I haven't been successful with it, I like the potential.",,,
Owner in US,"Retail, Self Employed",Used the Software for: 1-5 months,3.0,Doesn't come with instant audience,,,
Owner in US,"Telecommunications, Self Employed",Used the Software for: 1-5 months,4.0,Easy to use and fully functional,"Everything works as expected, the price was a bit high.",I liked this software because it was easy to use and fully functional for creating an online e-commerce store.,I think there are cheaper options for creating an online e-commerce store. Some of the options don't seem available.
Canada,,Used the Software for: 6-12 months,5.0,Get all your essentials online!,,,
Real estate Virtual assistant in Philippines,"Real Estate, Self Employed",Used the Software for: Free Trial,4.0,Shopify for Startup Entrepreneurs,,,
"Consumer Services, Self Employed",Used the Software for: 6-12 months,Reviewer Source,3.0,Too many unexpected emails,Horrible.,Ebay was linked to it. Was able to upload orders from different shipping companies.,Very poor and lacking professionalism in the customer service department.
US,,Used the Software for: Not provided,3.0,Shopify Review,"I love where this has gotten to so far, but still, so many little improvements could be made to help with a lot of things. Scheduled Banners, Sortable banners for starters...",,
Accountant/Bookkeeper in US,", 2–10 Employees",Used the Software for: 1-5 months,5.0,Online Stores - Worth a Try!!!,,,
Marketer in Bangladesh,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1-5 months,5.0,All in one pack for e-commerce,It is totally awesome. All the features are there for creating your e-commerce shop.,It is scaleable and very much easy to use.,Apps that require monthly subscription. Instead of a one time payment or yearly subscription. Also the limited payment gateway integration is a problem.
US,,Used the Software for: Not provided,2.0,Not a Value Added Product,"Using Shopify can be challenging at times because the ability to change things or update is not consistent. Also, it is an app-based system that requires more purchases",,
Office Manager in US,"Health, Wellness & Fitness, 11–50 Employees",Used the Software for: 1-5 months,3.0,Big Name for a reason,Overall it is a great product that a lot of people use for a reason.,The customer service is the top reason I love this software so much. Extremely versatile and user friendly.,I feel like their site could use some polishing. It is just not very visually appealing and could use some beautification.
"Apparel & Fashion, Self Employed",Used the Software for: Free Trial,Reviewer Source,5.0,Perfect online store management tool,,,
"Design, 11–50 Employees",Used the Software for: Free Trial,Reviewer Source,5.0,Helpful for beginner e-commerce sites,,,
Manager in Canada,", 2–10 Employees",Used the Software for: 1-5 months,4.0,Solid Online Sales Solution,,,
,,Used the Software for: Not provided,4.0,an excellent support system,Fully capable of helping you create a successful online store. Help and support is unparalleled and will prove invaluable to your site's success,crisp interface and fully customizable,some of its competitors offer more free storage.
"Marketing & Advertising, Self Employed",Used the Software for: 6-12 months,Reviewer Source,4.0,Ecommerce Must Have,,,
Executive Director of Franchising in US,", 2–10 Employees",Used the Software for: 1-5 months,5.0,Get Started Fast and Easy,,,
US,,Used the Software for: Not provided,5.0,Shopify and,I started using shopify to start a t-shirt business. I really liked this E-Commerce platform because it had everything I needed to get started all in one place.,,
Office Manager in US,", 2–10 Employees",Used the Software for: 1-5 months,5.0,Awesome!,,,
US,,Used the Software for: Not provided,4.0,"I love it,it works great","I love it very easy to use, love the fact that I use the same system for all my inventory. And that I can seek it online and in the store",,
President in US,,Used the Software for: 1-5 months,4.0,Extremely powerful e-commerce solution!,Provides beautiful and professional templates to use when designing your online store.,"One of the easiest e-commerce solutions available to create your online store whether you have 10 products or 1,000 products.",They do charge some fees for each product that you sell so be sure to read the fine print before you decide.
customer service rep in US,"Environmental Services, 5,001–10,000 Employees",Used the Software for: 6-12 months,5.0,review for awardco,,,
Freelancer in US,"Arts & Crafts, Self Employed",Used the Software for: 6-12 months,5.0,Love it,It's a very user friendly platform. The websites that you can create are pretty amazing if you have the design know-how.,Easiest platform for anyone wanting to make a website and sell things.,Can become difficult to find the right options to look for in the settings.
"Law Practice, 201–500 Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,Shopify is Awesome,,,
"Hospital & Health Care, 51–200 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,Easy to use,,,
", 51–200 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Easy to use online site building platform,,,
Photographer in US,"Photography, Self Employed",Used the Software for: 1-5 months,5.0,This is a great product,I love to use this shopify app.,"This is great for buys and sellers
I've used this before to purchase props for my business.",Some products can be experience but the options for brands and purchasing is great.
Sales in US,"Outsourcing/Offshoring, Self Employed",Used the Software for: 6-12 months,4.0,Great app but comes with monthly payments,Great but if you don’t have money don’t do it,Easy way to sell my products. Being able to set up my own website,I least liked about this software was the monthly charge every month even if you don’t sell anything
CEO in Brazil,"Marketing & Advertising, Self Employed",Used the Software for: 1-5 months,5.0,Shopify your virtual store,,,
Financial Analyst in Mexico,"Banking, 1,001–5,000 Employees",Used the Software for: 6-12 months,4.0,Business app,"Very usefull, easy and allows to increase the earnings.",In these times of pandemic it allows to modernize the business.,Sometimes I didn't found the products I was lookinf for because no much shops knows about this app.
"Entertainment, 501–1,000 Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,Shopify is grey to start your small business!,,,
Artist in US,"Arts & Crafts, Self Employed",Used the Software for: 1-5 months,5.0,A wonderful product,,,
"Higher Education Software, Self Employed",Used the Software for: 6-12 months,Reviewer Source,4.0,Great for new businesses,,,
US,,Used the Software for: Not provided,5.0,Good review,It's really good so far I love it so much I'll ke on useinf it until y'all and nice people I've talk to ever thinks u so much for. ALL YALLL HEARD WORK,,
US,,Used the Software for: Not provided,5.0,Shopify now imports to QBO,Shopify is easy to use and now imports to QBO. Keep track of the products you sell and quick turn around of payment into your bank account.,,
US,,Used the Software for: Not provided,5.0,shopify Love it!!!,I have worked with shopify for many years and their a great provider I have had the chance to work with and offer their great product to our computer and hosting clients,,
Co-Founder in US,"Computer Software, 2–10 Employees",Used the Software for: 6-12 months,5.0,Literally The Best,,,
Business office manager in US,"Hospital & Health Care, 11–50 Employees",Used the Software for: 6-12 months,5.0,Easily able to browse and shop,,,
Pastor in Iceland,"Design, 11–50 Employees",Used the Software for: 1-5 months,5.0,Love the simplicity,,,
Accounting Specialist in US,"Transportation/Trucking/Railroad, Self Employed",Used the Software for: Free Trial,4.0,Shopify,Overall my experience with Shopify was pleasant and I would use it again.,Using Shopify was very easy. It was very convenient and did not cost and arm and a leg to try for dropshipping.,"A little costly if you keep the software. Once you get a decent amount of customers, it should be well worth it."
Ambassador for The Technology Innovation Scholars Program in US,Higher Education Software,Used the Software for: 1-5 months,5.0,Shopify is a great online store platform.,,,
Owner in US,"Retail, 2–10 Employees",Used the Software for: 1-5 months,5.0,Hey try it out,,,
Director in Brazil,,Used the Software for: 6-12 months,5.0,Comprehensive website solution,,,
US,,Used the Software for: Not provided,5.0,Awesome Company,Reasons why I love shopify:,,
Manager in US,"Retail, 2–10 Employees",Used the Software for: 1-5 months,5.0,Good app,It saves time to use this.,It's easy to use. It's compatible with my software. It's eye catching and professional. I like everything about it in general.,I cannot think of one thing about it that I dislike.
"Financial Services Software, 51–200 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,Review by a generic user,,,
"Music, 2–10 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,ECommerce platform with easy set up and day to day usage,,,
Supervisor in Tunisia,"Apparel & Fashion, 2–10 Employees",Used the Software for: 6-12 months,4.0,A very cool and easy-to-use application,Experience the splendor of my statement in setting up my store,A very cool and easy-to-use application,"The duration of the experiment, I hope, is more to give people a chance to learn and improve setting up a store"
US,,Used the Software for: Not provided,5.0,Just set it up for a client,We migrated over from Bigcommerce and are loving it. Was smoother and easier to use! A must try! At least poke around and test it out.,,
Full Stack Web Developer in Israel,"Computer Software, 51–200 Employees",Used the Software for: 1-5 months,5.0,Build your E-Commerce store easily!,,,
US,,Used the Software for: Not provided,5.0,LOVE IT! I love the apps :),Super easy for a student entrepreneur to use and learn from it. So many app plugins! We use Shippo and PureChat,App plugins,Difficult to tweak the back end
Student in Greece,"Computer Software, Self Employed",Used the Software for: 1-5 months,4.0,Easy and fast eCommerce builder,,,
"Cosmetics, 11–50 Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,Huge,,,
US,,Used the Software for: Not provided,4.0,Using Shopify,Overall easy to use a lot of solid integrations with 3rd party applications. The interface was especially user friendly which made the process time efficient.,,
US,,Used the Software for: Not provided,5.0,I love this product,,,
Contributing Writer in UK,"Health, Wellness & Fitness, 11–50 Employees",Used the Software for: 1-5 months,4.0,Easy to use and definitely looking forward to expanding my use of it,,,
"Education Management, 11–50 Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,Good ECommerce platform,,,
"Apparel & Fashion, 2–10 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,It's ok,,,
,Used the Software for: 1-5 months,Reviewer Source,4.0,It's easy to use if you have good tech skills,,,
Digital Marketing Officer in UK,,Used the Software for: 1-5 months,4.0,Simple eCommerce platform,,,
Director of Technology in US,"Computer Games, 11–50 Employees",Used the Software for: 6-12 months,5.0,I used apps like facebook group shops and similar apps before hand,A+,After trying shopify it really helped change the game for random tech items I was looking for. Always found the best prices and easy to use the functional website.,would love to see more computer hardware listings!
Music Producer in Croatia,"Music, 2–10 Employees",Used the Software for: 1-5 months,5.0,Shopify Review,,,
"Broadcast Media, 10,000+ Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,Shopify usage review,the experience is average.,the ease by which one can choose and buy from different options with just on search,the interface and software development. its lags and is slow even with good connectivity
Marketing Consultant and Front-End Web Developer in US,"Marketing & Advertising, Self Employed",Used the Software for: Free Trial,5.0,De Fact Ecommerce Platform,Shopify gives you all the tools you need to start selling and fulfilling orders on your ecommerce website. It's full featured.,I love Shopify's marketplace! There are so many ways to make your Shopify store even more powerful.,There are limited amount of free themes to choose from.
Digital marketing in US,"Translation & Localization, 51–200 Employees",Used the Software for: Free Trial,5.0,Best E-Commerces Platform,I love how I was able to get up and running with my store.,It library of apps you can purchase for your store front,"It not very easy to set up some apps. Second the free themes are ok, but not what I will call awesome."
Developer in Italy,"Information Technology & Services, 2–10 Employees",Used the Software for: 6-12 months,5.0,The industry leading shop,Overall is a great tool to start your business on the web,The best thins is the fact that despite some initial configuration everyone can use and update it,Maybe the trial is a bit limited with 14 days
"Marketing & Advertising, 501–1,000 Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,Inventory management at its finest,,,
CSR in US,"Building Materials, 11–50 Employees",Used the Software for: Free Trial,2.0,Not for Us,We did not choose to go forward in business with Shopify.,"I guess that the ease of use is what I liked most about this, but in my opinion this is not a good fit.",I cannot say that there is anything I don't like about this software. It just is not for us unfortunately.
software Engineer in India,"Computer Software, 10,000+ Employees",Used the Software for: 1-5 months,3.0,Online Store builder,It's an good option for those who don't have much technical knowledge and want to start their own online store.,"Shopify is used to build your online store with many built-in features available.One can sell the products in their site or other social channels like Instagram, Facebook,Amazon.It's easy to use, you don't need any coding-experience to build your store.It supports multiple payment gateways.","You need to pay certain amount to use the complete features of it,The price vary according to plan.
You will be charged a transaction fee on the top of payment processor if not using shopify payments gateway."
Project Manager in Australia,"Computer Software, 11–50 Employees",Used the Software for: 1-5 months,4.0,Good for taking orders,,,
CEO in US,"Apparel & Fashion, Self Employed",Used the Software for: Free Trial,4.0,Use Of Shopify,,,
IT in US,,Used the Software for: Free Trial,5.0,Great for small-businesses,,,
Office Manager in US,"Automotive, 2–10 Employees",Used the Software for: 1-5 months,3.0,It's sooo easy,,,
"Accounting Software, 2–10 Employees",Used the Software for: Free Trial,Reviewer Source,5.0,good,"Its so good I love it, I am excited i am so excited",Its so good I am so excited that I get to use it to shop for my favorite things. Its not fun otherwise.,These is nothing that I like the least about the software its a good software there are no cons to the software
Dancer in Jamaica,"Entertainment, 2–10 Employees",Used the Software for: Free Trial,5.0,helpful for new user,,,
Digital Marketing Specialist in US,"Marketing & Advertising, 2–10 Employees",Used the Software for: Free Trial,4.0,One of the popular ecommerce platform on my opinion.,,,
Sales in US,"Automotive, 51–200 Employees",Used the Software for: 6-12 months,5.0,Great product,Could be a little cheaper or offer different packages for different needs,Great product allowing businesses to reach the customer,Could be a little cheaper or offer different packages for different needs
Dietetic intern in US,"Health, Wellness & Fitness, Self Employed",Used the Software for: 6-12 months,5.0,Efficient and intuitive,No issues,"Great, easy to use interface. Efficient and intuitive to set-up and track. Clear information.",No issues with the software. Have not needed to troubleshoot or reach out to CS.
PMO in Brazil,"Real Estate, 11–50 Employees",Used the Software for: 1-5 months,4.0,For your e-Commerce,,,
Manager in Pakistan,"Accounting Software, 2–10 Employees",Used the Software for: 1-5 months,5.0,Shopify is best ecommerce tools,,,
Owner in US,"Publishing, 2–10 Employees",Used the Software for: Free Trial,5.0,They need to let you build your store without a monthly fee,,,
Doctor in UK,"Hospital & Health Care, 201–500 Employees",Used the Software for: 1-5 months,5.0,Ease of use and handy,,,
Content Creator in US,"Entertainment, Self Employed",Used the Software for: 1-5 months,5.0,"Shopify, Online markets made easy.","I use Shopify for resale purposes. I sell products and I communicate with customers. As this review states, I absolutely love the product and I know you will too!",This product is absolutely vital if you're an online business. It makes online orders easier then it has even been before.,"As mentioned, absolutely vital, however I do wish it was a quicker setup. It took me about 3-4 days to finish all needed requirements and settings for my shop. It could've been on me, but I feel like it was just a one time thing anyways. Ever since that, the product has been amazing!"
Operations manager in Canada,"Architecture & Planning, 2–10 Employees",Used the Software for: 1-5 months,5.0,Love the ability to sell so easily,,,
manager in US,"Banking, 11–50 Employees",Used the Software for: 6-12 months,5.0,shopify review,everything from the layout to the service is 100% great,"i really like the ease of use, very simple and easy going to understand",i can honestly say i have not one bad thing to say about shopify
Small Business Owner in US,"Textiles, Self Employed",Used the Software for: Free Trial,3.0,Not very user friendly.,,,
Designer in Spain,"Design, Self Employed",Used the Software for: 1-5 months,5.0,I like it!,,,
CNA in US,"Hospital & Health Care, 501–1,000 Employees",Used the Software for: 6-12 months,5.0,Amazing platform,Amazing experience,I liked that it was easy to navigate and when I needed help they helped quickly to resolve my issue,There wasn’t really anything that I didn’t like about Shopify
Caregiver in US,"Medical Practice, 11–50 Employees",Used the Software for: Free Trial,4.0,Good use,They have been very good to me if i need help of any sort,Everything I would recommend using it its easy and quick. Faster then going into a store. Can use your phone,Doesn't download fast. And not very many orher options but still very good to use. Brings the connection slower
Teacher in Brazil,"E-Learning, 501–1,000 Employees",Used the Software for: Free Trial,5.0,Shopify - Anderson,Very great experience with Shopify. Very good software.,"ease of use, attractive screens and functionalities",Ease of used. The functionalities are well distributed by the software facilitating access to them.
Owner in US,"Religious Institutions, Self Employed",Used the Software for: Free Trial,3.0,Difficult to Figure Out,,,
Sped director in US,"Education Management, 51–200 Employees",Used the Software for: 6-12 months,5.0,Shopify,,,
Front Office in Ecuador,", 11–50 Employees",Used the Software for: Free Trial,4.0,The best platform to start your online shopping,,,
Technician in US,"Automotive, 10,000+ Employees",Used the Software for: 1-5 months,4.0,Shopify review,Customer service and support always ready and there for support,Practically easy to use and straightforward with minimum glitches and bugs,I wouldn't complain the overall experience is ok
Business Development Specialist in US,"Biotechnology, 10,000+ Employees",Used the Software for: 6-12 months,4.0,Good resource to ecommerce business,,,
Registered Nurse in US,"Hospital & Health Care, 1,001–5,000 Employees",Used the Software for: 6-12 months,3.0,Not my favorite,Overall did not like this software.,What I liked most about Shopify was that it was easy to navigate.,I liked nothing else about Shopify. Customer service did not get back to me timely. They charge to much. Just overall no thank you.
CEO in Nigeria,"Computer Software, 11–50 Employees",Used the Software for: Free Trial,5.0,Mark's Shopify Review,I use it for freelancing.,"Shopify is a good software, easy to use. It helps grow my freelancing business.","There are no difficult features, but it should be improved in the area of integrations."
Student in Germany,"Computer Software, Self Employed",Used the Software for: Free Trial,4.0,Pretty good online marketplace and ecommerce website,,,
Soulful Success Strategist & Lifestyle Designer in US,"Consumer Goods, Self Employed",Used the Software for: 1-5 months,3.0,There are so many other ways to achieve the outcome of Shopify for cheaper,,,
Outsourced CFO in Spain,"Accounting Software, Self Employed",Used the Software for: 1-5 months,5.0,Powerful platform for your ecommerce,,,
Teacher of the Visually Impaired in US,"E-Learning, 201–500 Employees",Used the Software for: 6-12 months,5.0,Shopify is a big money saver,Shopify is easy to use and understand. I am able to sell and ship and make payments with ease,Easy to sell and ship and make payments on Shopify.,I do not have any cons about using this product
Production associate in US,"Food Production, 501–1,000 Employees",Used the Software for: 6-12 months,4.0,Good products,I had no problems with them at all I had nonething but great experience with them,It allways have good products and customor service is great,Nonething everything is great with this company
Manager in Canada,"Machinery, 2–10 Employees",Used the Software for: 1-5 months,5.0,Shopify for Small Business,,,
Graphic Designer in Mexico,"Design, Self Employed",Used the Software for: Free Trial,5.0,A very nice e-commerce platform to improve sells,,,
Chaplain in US,"Religious Institutions, 201–500 Employees",Used the Software for: Free Trial,5.0,Shopify makes my website pop!,,,
Installation Coordinator in Canada,"Information Technology & Services, 2–10 Employees",Used the Software for: 1-5 months,5.0,First time user. Surprised at how easy it is to set up my website,,,
"Warehousing, 11–50 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Much better than other ecom wrbsite building tools,,,
marketing manager in US,"Marketing & Advertising, 10,000+ Employees",Used the Software for: 1-5 months,4.0,shopify,it was great i found everything i need there,its a very good store where i can get everything its very cheap too!!!,nothing its very good cheap and just an over all great site
General Manager in Fiji,"Education Management, 2–10 Employees",Used the Software for: 1-5 months,5.0,Best Application,I would recommend the product to any interested user.,"Easy to use and navigate, I would recommend it to others.","The ability to search and find products, and customer fulfillment."
Owner in US,"Entertainment, 2–10 Employees",Used the Software for: 1-5 months,5.0,Very useful for our business,Our overall experience has been positive and we love it,We use this weekly and it’s been a god send for our small business,We have no cons it’s been great for us and our staff
US,,Used the Software for: Not provided,4.0,Great Product,Very easy product to use. Lots of add ones that are low cost. Good designs and support very good. Pleasure using this product.,,
US,,Used the Software for: Not provided,5.0,Nice job buddy,Great job on serving what I want when I want where I want,,
Owner in US,"Apparel & Fashion, Self Employed",Used the Software for: 1-5 months,5.0,Shopify,,,
Owner in US,,Used the Software for: 1-5 months,5.0,Just set up website recently.,,,
"Information Technology & Services, 11–50 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Turn-key solution for an online shop or marketplace,,,
Assistant in US,"Medical Practice, 2–10 Employees",Used the Software for: 1-5 months,5.0,Diversify with Shopify,,,
Business in Dominican Republic,"Consumer Electronics, 2–10 Employees",Used the Software for: 1-5 months,4.0,Start selling your products here,The best way to start selling online using your own website.,Is an app that Keats you create your own store. You can sell digital or physical items. Don’t need to have much skills to create it.,Not available for all countries. Please check yours first.
Ad Ops Manager in Canada,"Marketing & Advertising, 11–50 Employees",Used the Software for: 1-5 months,4.0,Shopify Review,Pretty good. I would recommend it,"Great for dropshipping!!!
Paypal integration very easy
love the free templates","Not very easy to export blog posts
Adding a custom field like text box...this could be simplified"
US,,Used the Software for: Not provided,5.0,Great job.,The app is very easy to use. Helps me with any and everything i need to have to run a smooth business,,
,Used the Software for: 6-12 months,Reviewer Source,4.0,Good website hosting site for selling items,,,
assistant in US,,Used the Software for: 1-5 months,5.0,Love this software,,,
,Used the Software for: 1-5 months,Reviewer Source,4.0,"great, simple and feature rich",,,
US,,Used the Software for: Not provided,5.0,Easy to design and navigate,"I am not one who is technically savvy and this company makes it easy to build, design, and edit your website.",,
TETRA ENGINEER in Philippines,"Aviation & Aerospace, 10,000+ Employees",Used the Software for: 1-5 months,5.0,Online Marketplace made easy,,,
US,,Used the Software for: Not provided,5.0,We Love Shopify!,"We love Shopify! There are a few limitations, but overall, it's so easy to set up and track your business.",,
Systems Integration Engineer(Experienced Certified) in US,"Telecommunications, 10,000+ Employees",Used the Software for: 6-12 months,5.0,Shopify Review,Overall it provides great and quality e-commerce solution,"Trusted site to sell our goods
Transactions are processed with ease
Subscription fee is pretty reasonable",The website usage can be made bit easier for new users
Senior Data Analyst in US,", 1,001–5,000 Employees",Used the Software for: 6-12 months,4.0,A very strong platform,,,
Manager in Latvia,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1-5 months,5.0,Great e-commerce platform,Great platform to quickly start e-com business.,It's very easy to setup e-commerce store from scratch. Easy and fast to add payment methods.,Additional paid plugins and premium themes are necessary to design flawless store.
Owner in New Zealand,"Hospitality, 2–10 Employees",Used the Software for: 1-5 months,5.0,Simple to use,,,
Owner of business in US,"Retail, Self Employed",Used the Software for: 6-12 months,5.0,Great for starting businesses!,,,
US,,Used the Software for: Not provided,5.0,The best tool for an Ecommerce site,Easy to use and a pretty good price for a whole eCommerce website. Our company uses Shopify for any eCommerce clients,,
Managing Partner in US,"Education Management, 2–10 Employees",Used the Software for: 6-12 months,4.0,Shopify is useful.,,,
Manager in US,", 2–10 Employees",Used the Software for: 6-12 months,5.0,Shopify is exactly what I need!,,,
Freelancer/ Ceo in Nigeria,"E-Learning, 2–10 Employees",Used the Software for: 1-5 months,5.0,Amazing service,,,
"Computer Software, 2–10 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,Shopify simplifies your emcommerce dream,,,
QA Engineer in India,"Computer Software, 501–1,000 Employees",Used the Software for: 1-5 months,4.0,Easy creation,,,
US,,Used the Software for: Not provided,5.0,It's awesome,I had a great experience. It's very affordable and the prices are low it's easy to use. I would recommend.,Easy to use,Nothing
"Farming, 2–10 Employees",Used the Software for: 1-5 months,Reviewer Source,5.0,It is the ultimate for ecommerce,I can reach to a wide range of customers without much hassle.,It is affordable for small business and gives lots of options for email marketing as well.,Although it does not have all the options in the trial version.
"Consumer Goods, 51–200 Employees",Used the Software for: 6-12 months,Reviewer Source,3.0,Shopify,,,
"Computer Software, 2–10 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,The main choice.,,,
Consultant in US,"Entertainment, Self Employed",Used the Software for: 1-5 months,5.0,Shopify,Overall experience with Shopify has been positive.,Overall it's been a handy tool with a client I work with - it provides a greater range of options.,"Learning the nitty gritty about it, initially - have become more proficient with it over time."
"Telecommunications, 10,000+ Employees",Used the Software for: 6-12 months,Reviewer Source,4.0,It's a good App,,,
"Education Management, Self Employed",Used the Software for: 1-5 months,Reviewer Source,4.0,simple and easy to use,lovely app but little expensive,"customer service is very good, easy to navigate. I think it is the best platform for business owners to grow",recent update seems strange. sometimes its unable to login
"Retail, 51–200 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,Everything you need at your fingertips,excellent,The thing that I liked most about shopify is that it is extremely easy to navigate and the prices are affordable,I did not like that the company urges you to get their premium features
"Financial Services Software, 1,001–5,000 Employees",Used the Software for: 1-5 months,Reviewer Source,4.0,Good solution for ecommerce,,,
Construction Accountant in US,"Construction, 51–200 Employees",Used the Software for: 1-5 months,5.0,Shopify for the shopper,,,
Teacher in US,"E-Learning, 51–200 Employees",Used the Software for: 6-12 months,4.0,Shopify for new users,,,
Dog Breeder in Italy,"Farming, 2–10 Employees",Used the Software for: 1-5 months,4.0,Ok eCommerce solution.,"For me Shopify has been very beneficial to set up an online store and start selling straight away, at the same time, after a few months I stopped using it because of the price.","It is a nice software to manage an eCommerce, to add new products, process orders, store data etc, I found it very easy to use and to set up very quickly a template for my store.","Shopify has a lot of great features and for sure it is very useful to manage an eCommerce for those you are not very used to do it. At the same time, I find it a little bit too expensive expecially if you do not sell a lot."
Homemaker in US,"Individual & Family Services, Self Employed",Used the Software for: Free Trial,5.0,Shopify,Loved it overall even though got confused at first,Easily used and very convenient for the customer me and my husband loved the software thank u shopify,Confusing at first kept telling me my email or password was incorrect and didnt want to take my card
Owner in US,"Hospitality, 2–10 Employees",Used the Software for: 1-5 months,3.0,Personal experience.,Very satisfied,That is very easy to use. Can access everything you need quickly.,That's it's not very quick to get instant payout that I would like. And all the thing that go kk
Senior Consultant in Indonesia,"Human Resources, 51–200 Employees",Used the Software for: Free Trial,5.0,The Quickest Way to Your Online Shop,,,
Estimator in Canada,"Building Materials, 51–200 Employees",Used the Software for: 1-5 months,5.0,Shopify is one of the best tool,Overall best tool to order online and expect on-tine delivery,"Order anytime, Keep low inventory, Delivery on time, Save money","no cons as such. But, could be more competitive"
Self employed in Malaysia,"Ranching, Self Employed",Used the Software for: 1-5 months,4.0,Shopify review,Customized beautiful themes.,"Point Of Sales(POS), an opportunity to sell products offline and free features.","Required a lots of patience, efforts and exprementation"
Supply Chain Manager in Luxembourg,"Logistics & Supply Chain, 51–200 Employees",Used the Software for: 1-5 months,5.0,Super cool ecommerce platform!,,,
Student in Canada,"Architecture & Planning, 10,000+ Employees",Used the Software for: 6-12 months,5.0,Smooth and consistent software,,,
AT in US,"Banking, 501–1,000 Employees",Used the Software for: 6-12 months,4.0,Easy selling tool,,,
Founder in US,"Marketing & Advertising, 2–10 Employees",Used the Software for: 1-5 months,4.0,"Easy To Use, But Cost Quickly Adds Up",,,
Virtual Assistant in US,"Apparel & Fashion, 2–10 Employees",Used the Software for: 1-5 months,5.0,Amazing Software,,,
Senior Programs and Communications Manager in US,"Nonprofit Organization Management, 2–10 Employees",Used the Software for: 6-12 months,4.0,REview of Shopify,,,
Web Designer in US,"Publishing, 2–10 Employees",Used the Software for: Free Trial,4.0,Shopify,,,
Business Owner in US,"Retail, Self Employed",Used the Software for: 1-5 months,4.0,Stress free storefront,,,
Marketing Manager in US,"Marketing & Advertising, Self Employed",Used the Software for: 6-12 months,4.0,Great option when building a business,,,
Agent in US,"Insurance Software, 501–1,000 Employees",Used the Software for: 1-5 months,5.0,Perfect For Business,,,
"Computer Software, Self Employed",Used the Software for: Free Trial,Reviewer Source,5.0,"I am a user, i like it.","its a great software, very helpful.","Simple to use.
Has choices of storefront themes.
Has great marketing and discounts platform.","Technical support can be an isssue in most countries.
Most of the features are limited to paid Users."
Shiftsmart employee in US,"Retail, 5,001–10,000 Employees",Used the Software for: 6-12 months,5.0,Shopify software,,,
Software Developer in Pakistan,"Information Technology & Services, 11–50 Employees",Used the Software for: 6-12 months,5.0,Good Store if you want to sell your product,,,
Centre Director in Australia,"Education Management, 11–50 Employees",Used the Software for: 6-12 months,5.0,Shopify,We only started to use shopify,"Although we do not regularly use them, we find it easy to browse and shop around.",More eshops need to have access to shopify.
Accountant in US,Retail,Used the Software for: 1-5 months,4.0,Easy to Use,,,
Customer Service Rep in US,"Warehousing, 501–1,000 Employees",Used the Software for: 6-12 months,5.0,Choose Shopify for your e-commerce needs,I love Shopify it’s bringing me in a lot of money!,I love how it offered a free trial and easy to use website,Really nothing the software is great and easy to use
Web Developer in Pakistan,"Computer Software, 2–10 Employees",Used the Software for: 1-5 months,5.0,Experience with Shopify,,,
Software Engineer in Spain,"Internet, 10,000+ Employees",Used the Software for: 1-5 months,4.0,All you need for simple e-commerce!,,,
Canada,"Apparel & Fashion, 2–10 Employees",Used the Software for: Free Trial,3.0,"Professional looking, straight to the point",,,
Web Developer in Canada,"Computer Software, 11–50 Employees",Used the Software for: 1-5 months,5.0,One of the easiest way to setup an online store,It helped us grow our online store to a place we never could have without Shopify's help!,The thing I like most about Shopify is that it is easy to get started selling online even if you have no experience with web development. It is also a very powerful tool if you are a more experienced developer looking for a way to bring your online store to the next level! It is also reasonably priced.,"We've had some issues with the API where we found it lacked a bit of customizability. But for what it brings us, it wasn't that big of an issue."
